Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal mining 05,478040472511.4473,1048817521374.1263,1029509317663.7554,1123470599724.2668,1163141572362.4011,1215433864891.9165,1257034980575.4626,1294861642734.2427,1328939740700.891,1359311002468.777,1386031447965.0005,1403989350645.1392,1418252292990.0493,1428947864178.3628,1436212405801.4456,1440189663182.9512,1442181850179.2769,1441205140847.7495,1437410848165.3533,1430953223315.7974,1421988466121.8418,1413916221229.3271,1403635151239.1716,1391285675054.451,1377007824982.4805,1360940613421.1677,1347044766473.5134,1331575846274.4314,1314651488946.8787,1296387442415.4695,1276897198903.694,1260577756029.8533,1246945833359.9233,1235611614805.7034,1226257196162.7295,1218620733607.1892,1212484608114.6707,1207666466900.6238,1204012357738.924,1201391407113.9614,1199691651828.0522,1198816742566.733,1198683313792.1963,1199218867949.0999,1200360060351.1824,1202051298931.4465,1204243593420.8936,1206893603614.138,1209962847666.6362,1213417039885.7046,1217225533960.3955
oil and gas extraction 06,66064623.630143076,144945331.59976736,142276960.8561809,155262298.0652281,160744779.20874107,167971511.7206772,173720736.33295456,178948335.96604747,183657888.4948741,187855160.67839175,191547894.40376785,194029655.154102,196000776.78931534,197478891.98184943,198482842.9771555,199032495.20766428,199307813.07650846,199172833.01081565,198648466.28368858,197756030.22489783,196517111.46380877,195401536.83919048,193980705.21828935,192274022.32617614,190300840.4608483,188080370.9700384,186159981.48126584,184022195.1437448,181683269.1294834,179159199.66372895,176465671.23652145,174210343.67889762,172326428.21079472,170760052.71335468,169467283.2043631,168411933.17940137,167563927.94862935,166898066.57452682,166393073.04290724,166030860.78986955,165795956.63492036,165675045.2176169,165656605.51998046,165730618.46625525,165888329.89628798,166122057.05266672,166425029.53859597,166791257.78934023,167215423.65984046,167692788.90822655,168219118.2508449
other mining and quarrying 07T08,1151582978751.1714,2526565165257.036,2480052369747.6753,2706401851234.165,2801967853419.2305,2927322243507.697,3026924516955.7812,3117441909932.518,3198941162692.451,3271526533812.782,3335336142160.1094,3378073759413.6978,3411938069798.305,3437237987782.3135,3454303113205.6245,3463480524809.222,3467902689271.879,3465204186442.4155,3455749540214.1675,3439910132946.8994,3418061847846.8223,3398376089382.4985,3373397641178.165,3343464113707.2886,3308912076419.8423,3270075548132.9185,3236470680837.8174,3199099605262.64,3158244843091.56,3114184319659.207,3067190488238.7783,3027824451428.8364,2994923612046.275,2967550214175.0503,2944939495771.027,2926461555703.186,2911592881644.169,2899894799030.045,2890996954724.544,2884584514586.052,2880388135829.1514,2878176037000.0356,2877747670895.4604,2878928634730.43,2881566544198.3823,2885527664978.7393,2890694144278.918,2896961721307.158,2904237822723.1826,2912439969603.927,2921494438056.855
food beverage and tobacco 10T12,10648571776916.72,20522177023792.438,17211166778099.832,19406220896915.516,21119795429086.06,22719164613495.188,24375707140364.312,26048763175589.484,27734788961589.92,29430187551561.0,31131312525485.145,32863632694605.723,34595486247647.387,36322830336987.87,38041597116706.16,39747704875067.28,41430563580657.195,43092550031769.5,44729664591125.66,46337936148564.36,47913432244031.73,49434267871515.164,50914906755764.92,52351712791424.58,53741114669560.836,55079612789675.73,56343286380240.78,57549967164035.49,58696514553288.77,59779870149648.69,60797061720340.92,61840768806964.8,62906950023285.42,63992345569689.445,65094297002785.58,66210614678735.95,67339478779339.664,68479364396943.38,69628984120834.68,70787243533804.52,71953206354360.72,73126066870609.77,74305127946246.33,75489783327422.7,76679503300282.38,77873822981500.95,79072332694658.11,80274670011446.34,81480513131135.42,82689575342911.12,83901600369941.27
textiles apparel and leather 13T15,3171848114822.6064,5805098154115.2,4551125070020.157,5011710083936.97,5335080410686.062,5621771190530.077,5916292844430.765,6209215614010.2295,6500470223890.892,6789962046053.896,7077574738394.735,7369712629018.496,7659792408348.778,7947600401516.492,8232914909512.931,8515508666799.2295,8793770221424.287,9068860796895.814,9340557688779.625,9608639828792.373,9872889291391.14,10129404141454.283,10381760231452.555,10629773293572.078,10873264958921.586,11112063579765.676,11341878451307.627,11566827363634.607,11786775813112.604,12001596460901.139,12211169523497.467,12425731155025.957,12644521018261.713,12866925821909.963,13092445412470.77,13320667835326.557,13551250714014.98,13783907155874.162,14018394950377.734,14254508196357.52,14492070743941.027,14730931008322.713,14970957831861.676,15212037155336.668,15454069319585.473,15696966862516.096,15940652708536.904,16185058671209.855,16430124207676.504,16675795376815.514,16922023963285.771
wood products 16,15662630601.09124,28436807723.248615,22362324775.72476,24358067724.626915,25650934633.36108,26741594576.551025,27845962809.577587,28919729854.024834,29963571921.098564,30978030556.39422,31963535207.89248,32949658893.138885,33907317258.157505,34836493195.32833,35737140674.826744,36609196057.62325,37446707684.48969,38255646682.624535,39035980738.26541,39787687381.63975,40510759113.64407,41190208700.68821,41841718827.24816,42465397704.719406,43061372104.019356,43629789283.434235,44154753683.68694,44653360475.82217,45125853153.77339,45572491175.474686,45993550426.131805,46456963723.10264,46956275636.28549,47486279187.84081,48042727964.65872,48622124381.520935,49221561587.038666,49838603799.47577,50471194598.243484,51117585837.18648,51776281965.18183,52445995993.92724,53125614366.23237,53814168694.24613,54510812849.787544,55214804260.475494,55925488537.60512,56642286763.33367,57364684915.49023,58092225022.10475,58824497724.336395
pulp paper and printing 17T18,37692402982.410736,68561297657.31501,54006960515.80955,58916122432.24225,62130681209.78876,64856711089.90392,67615725173.45726,70299261421.71388,72907876862.33463,75441856215.3146,77901264713.93736,80357294981.15656,82738216086.37592,85043134947.05006,87271137849.43538,89421318537.87051,91478437921.85634,93456433991.92656,95354635885.6066,97172448795.4977,98909366668.86494,100528376342.69936,102067405283.85036,103526394386.60678,104905379915.55467,106204497547.10799,107384915410.09462,108488159982.48811,109514749003.95801,110465282933.096,111340444765.71988,112327358382.33516,113408991034.17139,114571604032.40163,115803993152.5933,117096929963.89374,118442744695.48048,119835010500.85391,121268301483.56355,122738005133.86363,124240175417.76962,125771416597.41664,127328790535.52371,128909742126.2747,130512038847.82385,132133721411.85045,133773063203.97717,135428536740.8291,137098785767.2261,138782601917.28528,140478905091.58658
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,12075788637817.84,23604422163255.344,20273772651155.016,22865496909997.867,24929539431923.78,26904486861286.914,28998741711474.96,31170506388598.953,33421750965610.023,35754339931580.95,38170035133849.336,40706617103019.55,43331877624704.65,46047098332586.57,48853456588757.2,51752028846220.6,54735199177843.36,57812110001798.266,60983602886318.64,64250434035306.375,67613277956371.83,71046860334520.61,74577006810313.61,78204296727032.89,81929242410740.8,85752292374657.75,89641220565058.75,93628588722095.11,97714811351588.44,101900249398717.14,106185212726804.25,110355995879297.52,114430001730460.77,118421267513941.05,122341240924510.78,126199350928917.25,130003433963840.39,133760056532612.92,137474762437643.53,141152264419560.75,144796594260564.28,148411221488670.97,151999148087552.1,155562984686051.0,159105012319219.7,162627232851160.5,166131410415969.1,169619105689583.9,173091704398914.03,176550441167910.88,179996419566796.06
